region,date,voc,total
Alberta,2021-06-14,gamma,2686
British Columbia,2021-06-14,gamma,7551
Manitoba,2021-06-14,gamma,166
New Brunswick,2021-06-14,gamma,1
Newfoundland and Labrador,2021-06-14,gamma,1
Northwest Territories,2021-06-14,gamma,1
Nova Scotia,2021-06-14,gamma,1
Nunavut,2021-06-14,gamma,0
Ontario,2021-06-14,gamma,4133
Prince Edward Island,2021-06-14,gamma,0
Quebec,2021-06-14,gamma,485
Saskatchewan,2021-06-14,gamma,208
Yukon,2021-06-14,gamma,9
Canada,2021-06-14,gamma,15242
Alberta,2021-06-14,delta,318
British Columbia,2021-06-14,delta,882
Manitoba,2021-06-14,delta,102
New Brunswick,2021-06-14,delta,0
Newfoundland and Labrador,2021-06-14,delta,1
Northwest Territories,2021-06-14,delta,0
Nova Scotia,2021-06-14,delta,2
Nunavut,2021-06-14,delta,0
Ontario,2021-06-14,delta,322
Prince Edward Island,2021-06-14,delta,2
Quebec,2021-06-14,delta,34
Saskatchewan,2021-06-14,delta,49
Yukon,2021-06-14,delta,0
Canada,2021-06-14,delta,1712
Alberta,2021-06-21,alpha,45268
British Columbia,2021-06-21,alpha,11144
Manitoba,2021-06-21,alpha,6302
New Brunswick,2021-06-21,alpha,180
Newfoundland and Labrador,2021-06-21,alpha,187
Northwest Territories,2021-06-21,alpha,77
Nova Scotia,2021-06-21,alpha,73
Nunavut,2021-06-21,alpha,21
Ontario,2021-06-21,alpha,142113
Prince Edward Island,2021-06-21,alpha,26
Quebec,2021-06-21,alpha,6833
Saskatchewan,2021-06-21,alpha,6417
Yukon,2021-06-21,alpha,2
Canada,2021-06-21,alpha,218643
Alberta,2021-06-21,beta,158
British Columbia,2021-06-21,beta,143
Manitoba,2021-06-21,beta,63
New Brunswick,2021-06-21,beta,4
Newfoundland and Labrador,2021-06-21,beta,6
Northwest Territories,2021-06-21,beta,0
Nova Scotia,2021-06-21,beta,12
Nunavut,2021-06-21,beta,0
Ontario,2021-06-21,beta,1154
Prince Edward Island,2021-06-21,beta,0
Quebec,2021-06-21,beta,411
Saskatchewan,2021-06-21,beta,10
Yukon,2021-06-21,beta,0
Canada,2021-06-21,beta,1961
Alberta,2021-06-21,gamma,2732
British Columbia,2021-06-21,gamma,8326
Manitoba,2021-06-21,gamma,195
New Brunswick,2021-06-21,gamma,1
Newfoundland and Labrador,2021-06-21,gamma,1
Northwest Territories,2021-06-21,gamma,1
Nova Scotia,2021-06-21,gamma,1
Nunavut,2021-06-21,gamma,0
Ontario,2021-06-21,gamma,4230
Prince Edward Island,2021-06-21,gamma,0
Quebec,2021-06-21,gamma,493
Saskatchewan,2021-06-21,gamma,282
Yukon,2021-06-21,gamma,31
Canada,2021-06-21,gamma,16293
Alberta,2021-06-21,delta,357
British Columbia,2021-06-21,delta,1036
Manitoba,2021-06-21,delta,101
New Brunswick,2021-06-21,delta,0
Newfoundland and Labrador,2021-06-21,delta,1
Northwest Territories,2021-06-21,delta,0
Nova Scotia,2021-06-21,delta,2
Nunavut,2021-06-21,delta,0
Ontario,2021-06-21,delta,470
Prince Edward Island,2021-06-21,delta,2
Quebec,2021-06-21,delta,35
Saskatchewan,2021-06-21,delta,67
Yukon,2021-06-21,delta,0
Canada,2021-06-21,delta,2071
Alberta,2021-06-28,alpha,45388
British Columbia,2021-06-28,alpha,12054
Manitoba,2021-06-28,alpha,6540
New Brunswick,2021-06-28,alpha,180
Newfoundland and Labrador,2021-06-28,alpha,187
Northwest Territories,2021-06-28,alpha,77
Nova Scotia,2021-06-28,alpha,73
Nunavut,2021-06-28,alpha,21
Ontario,2021-06-28,alpha,143267
Prince Edward Island,2021-06-28,alpha,26
Quebec,2021-06-28,alpha,6927
Saskatchewan,2021-06-28,alpha,6615
Yukon,2021-06-28,alpha,2
Canada,2021-06-28,alpha,221357
Alberta,2021-06-28,beta,158
British Columbia,2021-06-28,beta,151
Manitoba,2021-06-28,beta,70
New Brunswick,2021-06-28,beta,4
Newfoundland and Labrador,2021-06-28,beta,6
Northwest Territories,2021-06-28,beta,0
Nova Scotia,2021-06-28,beta,12
Nunavut,2021-06-28,beta,0
Ontario,2021-06-28,beta,1205
Prince Edward Island,2021-06-28,beta,0
Quebec,2021-06-28,beta,419
Saskatchewan,2021-06-28,beta,10
Yukon,2021-06-28,beta,0
Canada,2021-06-28,beta,2035
